experiment,seed,comparison_tier,schedule,epochs_planned,epochs_recorded,best_epoch,training_best_map50_95,patience,early_stopped,protocol_revision,best,best_sha256,last,last_sha256,config_hash,initializer_sha256,parent_checkpoint,resumed_from,detect_scales,forward_output_type,names,params,strict_native_reload,strides
P2-Partial50-Clean,42,strict_fair,direct100,100,81,51,0.44405,30,True,amended-patience30,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-partial50-clean-seed42/weights/best.pt,a6a2524e5123f47f4c13d5252be63099d2da34a1d4f1b3417d1f3e32bee774f5,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-partial50-clean-seed42/weights/last.pt,96a9427cd9dcc38a966396675c3c1b0d6e5ade709d5858e086cc26d90b2d6671,42d3d82bcbb743c98ae6add102e785e7112780944b10a27a4d0f2baf31ebf12b,d5ffc1a674953a08e11a8d21e022781b1b23a19b730afc309290bd9fb5305b95,,,4,tuple,"{'0': 'ball', '1': 'bat'}",20879576,True,"[4.0, 8.0, 16.0, 32.0]"
P2-Partial50-Clean,43,strict_fair,direct100,100,83,53,0.45153,30,True,amended-patience30,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-partial50-clean-seed43/weights/best.pt,312e7d461b03418a29121a1359034e1091d1aee6f51bd460dd1e7bc5c23b2204,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-partial50-clean-seed43/weights/last.pt,01d9cc9d4df39f591db58499f0320d9b1164f45da6b833e4eaf7aeed7dd337e4,42d3d82bcbb743c98ae6add102e785e7112780944b10a27a4d0f2baf31ebf12b,d5ffc1a674953a08e11a8d21e022781b1b23a19b730afc309290bd9fb5305b95,,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-partial50-clean-seed43/weights/last.pt,4,tuple,"{'0': 'ball', '1': 'bat'}",20879576,True,"[4.0, 8.0, 16.0, 32.0]"
P2-Partial25-Clean,42,strict_fair,direct100,100,86,56,0.45028,30,True,amended-patience30,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-partial25-clean-seed42/weights/best.pt,429d205ab5320e59d9499daa6b3872c4418bf8bae0292044d76ae6fd334e6a70,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-partial25-clean-seed42/weights/last.pt,a59b868441facb4b175a2fb6b71c8f0b43e7fc88f9c8b4f25c21a9223dcea636,42d3d82bcbb743c98ae6add102e785e7112780944b10a27a4d0f2baf31ebf12b,d5ffc1a674953a08e11a8d21e022781b1b23a19b730afc309290bd9fb5305b95,,,4,tuple,"{'0': 'ball', '1': 'bat'}",20872088,True,"[4.0, 8.0, 16.0, 32.0]"
P2-Partial25-Clean,43,strict_fair,direct100,100,42,12,0.44216,30,True,amended-patience30,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-partial25-clean-seed43/weights/best.pt,543c0e6027658c3891a3d5076b4369b7f117ab79271a8d6dce420396d9eee509,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-partial25-clean-seed43/weights/last.pt,7eb91973c8b79061ba5137fec5a1239f8fbe1500642c282c61ee406badef25c8,42d3d82bcbb743c98ae6add102e785e7112780944b10a27a4d0f2baf31ebf12b,d5ffc1a674953a08e11a8d21e022781b1b23a19b730afc309290bd9fb5305b95,,,4,tuple,"{'0': 'ball', '1': 'bat'}",20872088,True,"[4.0, 8.0, 16.0, 32.0]"
P3-M7-Clean,42,strict_fair,direct100,100,71,41,0.45244,30,True,amended-patience30,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p3-m7-clean-seed42/weights/best.pt,e87f0f8998a52adad53b3500606a34ed542eb9721773a1083e62b9f2dac2cea7,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p3-m7-clean-seed42/weights/last.pt,911c3e27c7a3f2e3967ed775224fead3857c13477a0bf5f187f70701eced3821,42d3d82bcbb743c98ae6add102e785e7112780944b10a27a4d0f2baf31ebf12b,d5ffc1a674953a08e11a8d21e022781b1b23a19b730afc309290bd9fb5305b95,,,3,tuple,"{'0': 'ball', '1': 'bat'}",20134934,True,"[8.0, 16.0, 32.0]"
P3-M7-Clean,43,strict_fair,direct100,100,71,41,0.43393,30,True,amended-patience30,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p3-m7-clean-seed43/weights/best.pt,b39200bc50dd49bb480c687363602a91de1b20851d896c2307aa88109eebe797,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p3-m7-clean-seed43/weights/last.pt,598d80b2a8134607a9c2be31a682a34297cff0cd11355f0f0b56f20a45427300,42d3d82bcbb743c98ae6add102e785e7112780944b10a27a4d0f2baf31ebf12b,d5ffc1a674953a08e11a8d21e022781b1b23a19b730afc309290bd9fb5305b95,,,3,tuple,"{'0': 'ball', '1': 'bat'}",20134934,True,"[8.0, 16.0, 32.0]"
P3-Lite35-Clean,42,strict_fair,direct100,100,83,53,0.44363,30,True,amended-patience30,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p3-lite35-clean-seed42/weights/best.pt,6deb1a9a719646465e6ed05284aa10696e3da8f643ce26725f94eb3216f66067,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p3-lite35-clean-seed42/weights/last.pt,9b45adad8d641fe69f1c19ee281de0f32d1181953c73c968e56ff5dbeb9c202b,42d3d82bcbb743c98ae6add102e785e7112780944b10a27a4d0f2baf31ebf12b,d5ffc1a674953a08e11a8d21e022781b1b23a19b730afc309290bd9fb5305b95,,,3,tuple,"{'0': 'ball', '1': 'bat'}",20196374,True,"[8.0, 16.0, 32.0]"
P3-Lite35-Clean,43,strict_fair,direct100,100,100,78,0.43174,30,False,amended-patience30,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p3-lite35-clean-seed43/weights/best.pt,8c6587508bc8b7fc719d6726775a97264f2dd72d7ef1c46607ee3d85c5abc8cd,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p3-lite35-clean-seed43/weights/last.pt,60bdd78f642af9b4dac9dd7784fca54137e6193fc6c35e6b72b45786f9d48835,42d3d82bcbb743c98ae6add102e785e7112780944b10a27a4d0f2baf31ebf12b,d5ffc1a674953a08e11a8d21e022781b1b23a19b730afc309290bd9fb5305b95,,,3,tuple,"{'0': 'ball', '1': 'bat'}",20196374,True,"[8.0, 16.0, 32.0]"
P3-Lite35-F7-Clean,42,strict_fair,direct100,100,31,1,0.41781,30,True,amended-patience30,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p3-lite35-f7-clean-seed42/weights/best.pt,0c053b2552d00ab13ad88e1925cde1464fdb6c941f32e702721cfc3caf9a25ec,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p3-lite35-f7-clean-seed42/weights/last.pt,bdfdc7d0360565cb15f4c5bc186cb8721fbe6cf16ac60c5ee2a0b5a7047ac6c9,42d3d82bcbb743c98ae6add102e785e7112780944b10a27a4d0f2baf31ebf12b,d5ffc1a674953a08e11a8d21e022781b1b23a19b730afc309290bd9fb5305b95,,,3,tuple,"{'0': 'ball', '1': 'bat'}",20200982,True,"[8.0, 16.0, 32.0]"
P3-Lite35-F7-Clean,43,strict_fair,direct100,100,83,53,0.44333,30,True,amended-patience30,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p3-lite35-f7-clean-seed43/weights/best.pt,80b64a5d744fa3126718eea5e602bcdd52ef5384da731bc1bf8f7c9bee985362,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p3-lite35-f7-clean-seed43/weights/last.pt,910b4f7cdf7b4d8a900275ab2cda09fd1b0a33474098bd35d34a52a6b8b26eca,42d3d82bcbb743c98ae6add102e785e7112780944b10a27a4d0f2baf31ebf12b,d5ffc1a674953a08e11a8d21e022781b1b23a19b730afc309290bd9fb5305b95,,,3,tuple,"{'0': 'ball', '1': 'bat'}",20200982,True,"[8.0, 16.0, 32.0]"
P3-Partial50-Clean,42,strict_fair,direct100,100,31,1,0.41599,30,True,amended-patience30,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p3-partial50-clean-seed42/weights/best.pt,5399cf421af88410b91086c69afcc2bb9ffb8a54913328d82ff28b7740547400,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p3-partial50-clean-seed42/weights/last.pt,9f2246cc5b811c5f49bcd3877e19b5acaed01b32563e657787cfbdc08f902c23,42d3d82bcbb743c98ae6add102e785e7112780944b10a27a4d0f2baf31ebf12b,d5ffc1a674953a08e11a8d21e022781b1b23a19b730afc309290bd9fb5305b95,,,3,tuple,"{'0': 'ball', '1': 'bat'}",20092694,True,"[8.0, 16.0, 32.0]"
P3-Partial50-Clean,43,strict_fair,direct100,100,79,49,0.44498,30,True,amended-patience30,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p3-partial50-clean-seed43/weights/best.pt,0f495cdbe4cdda7ae82e0ab59348f753af10581bddb2e3a312b67c443079415b,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p3-partial50-clean-seed43/weights/last.pt,abbd7ab70bc8938d268f64e8bbf5ed01959841f79f43e9a4f863d13552eaee2e,42d3d82bcbb743c98ae6add102e785e7112780944b10a27a4d0f2baf31ebf12b,d5ffc1a674953a08e11a8d21e022781b1b23a19b730afc309290bd9fb5305b95,,,3,tuple,"{'0': 'ball', '1': 'bat'}",20092694,True,"[8.0, 16.0, 32.0]"
P3-Partial25-Clean,42,strict_fair,direct100,100,78,48,0.44285,30,True,amended-patience30,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p3-partial25-clean-seed42/weights/best.pt,bc7ebca210def1a95a2f59cb1f5c6da6b68cbc48c0477379ea5a90077ddb5a5f,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p3-partial25-clean-seed42/weights/last.pt,3c239c628cd6e24efb0ab648fdbc33d970d1e13f3658dc8a72d047082517d9b6,42d3d82bcbb743c98ae6add102e785e7112780944b10a27a4d0f2baf31ebf12b,d5ffc1a674953a08e11a8d21e022781b1b23a19b730afc309290bd9fb5305b95,,,3,tuple,"{'0': 'ball', '1': 'bat'}",20065430,True,"[8.0, 16.0, 32.0]"
P3-Partial25-Clean,43,strict_fair,direct100,100,66,36,0.45683,30,True,amended-patience30,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p3-partial25-clean-seed43/weights/best.pt,76494ac115003e953d112bf9ae4914a0a89bad8ce8ba32a2a4013f03039fac61,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p3-partial25-clean-seed43/weights/last.pt,5ecc4d51ef5a08cc267a612e7b717a233837563dd19f4a7380ba30176ff3b32b,42d3d82bcbb743c98ae6add102e785e7112780944b10a27a4d0f2baf31ebf12b,d5ffc1a674953a08e11a8d21e022781b1b23a19b730afc309290bd9fb5305b95,,,3,tuple,"{'0': 'ball', '1': 'bat'}",20065430,True,"[8.0, 16.0, 32.0]"
P2-Control-Clean-Head,42,optimization_control,head20,20,20,1,0.00562,30,False,amended-patience30,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-control-clean-head-seed42/weights/best.pt,75647cfe35340c5c9a046a81fa64f7375f696a4920cf9cf35694ed07ee67eb80,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-control-clean-head-seed42/weights/last.pt,7dfc627fa27696f8754c16770d8a72a09ee5e9324a832d76faae400ed8abfe22,42d3d82bcbb743c98ae6add102e785e7112780944b10a27a4d0f2baf31ebf12b,d5ffc1a674953a08e11a8d21e022781b1b23a19b730afc309290bd9fb5305b95,,,4,tuple,"{'0': 'ball', '1': 'bat'}",20868696,True,"[4.0, 8.0, 16.0, 32.0]"
P2-Control-Clean-Head,43,optimization_control,head20,20,20,18,0.00361,30,False,amended-patience30,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-control-clean-head-seed43/weights/best.pt,2ff70727eb966e59dd31630853105104c4e784ca28caf85c7c707b647301da8f,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-control-clean-head-seed43/weights/last.pt,1b50d144190182e851820f47ab1f0531bb0d6553719f615d28882108ce131c82,42d3d82bcbb743c98ae6add102e785e7112780944b10a27a4d0f2baf31ebf12b,d5ffc1a674953a08e11a8d21e022781b1b23a19b730afc309290bd9fb5305b95,,,4,tuple,"{'0': 'ball', '1': 'bat'}",20868696,True,"[4.0, 8.0, 16.0, 32.0]"
P2-Control-Clean-Full,42,optimization_control,full80,80,53,23,0.5214,30,True,amended-patience30,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-control-clean-full-seed42/weights/best.pt,4744ce87fc8f44ab896271c129df252548ca353ff8adb834cd16e20a83cd1f4d,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-control-clean-full-seed42/weights/last.pt,f3492bad43bdbff8fe23c3b6b95fd58dcf2d32f45e1ef39011dd4eb4d523d976,42d3d82bcbb743c98ae6add102e785e7112780944b10a27a4d0f2baf31ebf12b,d5ffc1a674953a08e11a8d21e022781b1b23a19b730afc309290bd9fb5305b95,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-control-clean-head-seed42/weights/best.pt,,4,tuple,"{'0': 'ball', '1': 'bat'}",20868696,True,"[4.0, 8.0, 16.0, 32.0]"
P2-Control-Clean-Full,43,optimization_control,full80,80,47,17,0.46822,30,True,amended-patience30,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-control-clean-full-seed43/weights/best.pt,ecb0c85868aea1b5fbf28802897dad3b358d6ad51f88f07f86589940020dcee0,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-control-clean-full-seed43/weights/last.pt,ce7e6f42d321198d3e192845940bd3dc1efab1e50dffcccfa743d317367a65f6,42d3d82bcbb743c98ae6add102e785e7112780944b10a27a4d0f2baf31ebf12b,d5ffc1a674953a08e11a8d21e022781b1b23a19b730afc309290bd9fb5305b95,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-control-clean-head-seed43/weights/best.pt,,4,tuple,"{'0': 'ball', '1': 'bat'}",20868696,True,"[4.0, 8.0, 16.0, 32.0]"
